Step,Actual Price,Next Price,Model Prediction,Actual Label,Result
255,23919.75,23923.45,Flat,Down,Wrong!
256,23923.45,23913.55,Flat,Up,Wrong!
257,23913.55,23919.0,Flat,Up,Wrong!
258,23919.0,23925.55,Flat,Down,Wrong!
259,23925.55,23926.4,Flat,Down,Wrong!
260,23926.4,23920.25,Flat,Down,Wrong!
261,23920.25,23926.05,Flat,Down,Wrong!
262,23926.05,23935.5,Flat,Up,Wrong!
263,23935.5,23934.95,Flat,Up,Wrong!
264,23934.95,23932.6,Flat,Down,Wrong!
265,23932.6,23930.3,Flat,Down,Wrong!
266,23930.3,23917.65,Flat,Down,Wrong!
267,23917.65,23920.75,Flat,Up,Wrong!
268,23920.75,23929.35,Flat,Up,Wrong!
269,23929.35,23919.3,Flat,Up,Wrong!
270,23919.3,23911.85,Flat,Down,Wrong!
271,23911.85,23890.3,Flat,Down,Wrong!
272,23890.3,23893.8,Flat,Up,Wrong!
273,23893.8,23897.85,Flat,Up,Wrong!
274,23897.85,23904.7,Flat,Down,Wrong!
275,23904.7,23899.2,Flat,Up,Wrong!
276,23899.2,23889.95,Flat,Up,Wrong!
277,23889.95,23892.15,Flat,Down,Wrong!
278,23892.15,23896.75,Flat,Up,Wrong!
279,23896.75,23896.45,Flat,Up,Wrong!
280,23896.45,23905.3,Flat,Up,Wrong!
281,23905.3,23907.35,Flat,Down,Wrong!
282,23907.35,23903.8,Flat,Up,Wrong!
283,23903.8,23905.5,Flat,Flat,Correct!
284,23905.5,23909.5,Flat,Up,Wrong!
285,23909.5,23915.6,Flat,Up,Wrong!
286,23915.6,23914.2,Flat,Down,Wrong!
287,23914.2,23924.65,Flat,Up,Wrong!
288,23924.65,23924.5,Flat,Up,Wrong!
289,23924.5,23924.85,Flat,Up,Wrong!
290,23924.85,23929.2,Flat,Up,Wrong!
291,23929.2,23924.15,Flat,Up,Wrong!
292,23924.15,23935.6,Flat,Down,Wrong!
293,23935.6,23940.2,Flat,Down,Wrong!
294,23940.2,23949.25,Flat,Up,Wrong!
295,23949.25,23953.8,Flat,Up,Wrong!
296,23953.8,23956.65,Flat,Up,Wrong!
297,23956.65,23954.2,Flat,Up,Wrong!
298,23954.2,23949.55,Flat,Up,Wrong!
299,23949.55,23951.55,Flat,Up,Wrong!
300,23951.55,23957.45,Flat,Down,Wrong!
301,23957.45,23959.35,Flat,Up,Wrong!
302,23959.35,23979.55,Flat,Down,Wrong!
303,23979.55,23983.3,Flat,Up,Wrong!
304,23983.3,23985.25,Flat,Down,Wrong!
305,23985.25,23975.65,Flat,Down,Wrong!
306,23975.65,23988.05,Flat,Down,Wrong!
307,23988.05,23974.05,Flat,Up,Wrong!
308,23974.05,23977.05,Flat,Up,Wrong!
309,23977.05,23972.9,Flat,Down,Wrong!
310,23972.9,23964.6,Flat,Up,Wrong!
311,23964.6,23947.35,Flat,Down,Wrong!
312,23947.35,23990.0,Flat,Down,Wrong!
313,23990.0,24013.5,Flat,Down,Wrong!
314,24013.5,24012.65,Flat,Up,Wrong!
315,24012.65,24029.1,Flat,Up,Wrong!
316,24029.1,24021.65,Flat,Down,Wrong!
317,24021.65,24017.2,Flat,Down,Wrong!
318,24017.2,24013.85,Flat,Up,Wrong!
